Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2026/8/30,5,6,髙橋煌,Right,5,Right,2,3,2,Cutter,FoulBallFieldable,139,,
2026/8/30,5,7,髙橋煌,Right,5,Right,2,3,2,Cutter,InPlay,134,Out,GroundBall
2026/8/30,1,1,髙橋煌,Right,6,Right,0,0,0,Fastball,FoulBallFieldable,147,,
2026/8/30,1,2,髙橋煌,Right,6,Right,0,0,1,Curveball,InPlay,119,Single,GroundBall
2026/8/30,2,1,髙橋煌,Right,7,Right,0,0,0,Fastball,BallCalled,145,,
2026/8/30,2,2,髙橋煌,Right,7,Right,0,1,0,Fastball,BallCalled,148,,
2026/8/30,2,3,髙橋煌,Right,7,Right,0,2,0,Cutter,BallCalled,133,,
2026/8/30,2,4,髙橋煌,Right,7,Right,0,3,0,Fastball,InPlay,145,Out,Popup
2026/8/30,3,1,髙橋煌,Right,8,Right,1,0,0,Fastball,BallCalled,146,,
2026/8/30,3,2,髙橋煌,Right,8,Right,1,1,0,Fastball,BallCalled,145,,
2026/8/30,3,3,髙橋煌,Right,8,Right,1,2,0,Fastball,InPlay,145,Out,GroundBall
2026/8/30,4,1,髙橋煌,Right,9,Left,2,0,0,Cutter,BallCalled,139,,
2026/8/30,4,2,髙橋煌,Right,9,Left,2,1,0,Fastball,FoulBallFieldable,146,,
2026/8/30,4,3,髙橋煌,Right,9,Left,2,1,1,Cutter,BallCalled,139,,
2026/8/30,4,4,髙橋煌,Right,9,Left,2,2,1,Splitter,FoulBallFieldable,141,,
2026/8/30,4,5,髙橋煌,Right,9,Left,2,2,2,Cutter,FoulBallFieldable,131,,
2026/8/30,4,6,髙橋煌,Right,9,Left,2,2,2,Fastball,FoulBallFieldable,147,,
2026/8/30,4,7,髙橋煌,Right,9,Left,2,2,2,Cutter,InPlay,138,Out,GroundBall
2026/8/30,1,1,小松一,Right,1,Right,0,0,0,Slider,FoulBallFieldable,135,,
2026/8/30,1,2,小松一,Right,1,Right,0,0,1,Slider,BallCalled,133,,
2026/8/30,1,3,小松一,Right,1,Right,0,1,1,Fastball,InPlay,143,Single,LineDrive
2026/8/30,2,1,小松一,Right,2,Right,0,0,0,Fastball,BallCalled,143,,
2026/8/30,2,2,小松一,Right,2,Right,0,1,0,Slider,FoulBallFieldable,135,,
2026/8/30,2,3,小松一,Right,2,Right,0,1,1,Slider,BallCalled,133,,
2026/8/30,2,4,小松一,Right,2,Right,0,2,1,Slider,BallCalled,135,,
2026/8/30,2,5,小松一,Right,2,Right,0,3,1,Fastball,StrikeCalled,138,,
2026/8/30,2,6,小松一,Right,2,Right,0,3,2,Slider,InPlay,135,Out,GroundBall
2026/8/30,3,1,小松一,Right,3,Right,1,0,0,Slider,StrikeSwinging,135,,
2026/8/30,3,2,小松一,Right,3,Right,1,0,1,Fastball,FoulBallFieldable,141,,
2026/8/30,3,3,小松一,Right,3,Right,1,0,2,Fastball,BallCalled,142,,
2026/8/30,3,4,小松一,Right,3,Right,1,1,2,Splitter,BallCalled,134,,
2026/8/30,3,5,小松一,Right,3,Right,1,2,2,Slider,FoulBallFieldable,133,,
2026/8/30,3,6,小松一,Right,3,Right,1,2,2,Fastball,InPlay,139,Out,FlyBall
